order|section_id|layout|title|subtitle|bullets|speaker_notes|media_ref|chart_ref
1||Title|Generative Engine Optimization Master Class|Online October 7 2025||Good morning everyone and welcome to the Generative Engine Optimization Master Class. I'm thrilled you've chosen to spend your day diving deep into what I believe is the most significant shift in search since Google launched. Today we're not just talking about AI - we're talking about fundamentally reimagining how we create and optimize content for a world where machines don't just index they understand synthesize and create.||
2||Content|Agenda Overview||Session 1: Fundamentals of GEO (11:00-12:15) • Break (12:15-12:30) • Session 2: Keyword & Entity Optimization (12:30-1:45) • Break (1:45-2:00) • Session 3: AI-Ready Content Strategy + Competitive Analysis (2:00-3:15) • Break (3:15-3:30) • Session 4: Measurement Reporting & Future Trends (3:30-4:45)|We have four intensive sessions planned each building on the last. We'll start with fundamentals - making sure everyone understands what GEO actually is and how it differs from traditional SEO. Session 2 dives into the tactical - keywords and entities. After lunch Session 3 covers content strategy and competitive analysis with real case studies. We'll wrap up with measurement and future trends. Feel free to ask questions throughout - this is meant to be interactive.||
3||Content|Meet Your Instructor|Will Scott - Search Influence|Co-founder/CEO Search Influence • 25+ years digital marketing • Coined "Barnacle SEO" (2008) • AI content pioneer (2023) • Frequent presenter and columnist|Quick introduction - I'm Will Scott co-founder of Search Influence. I've been in digital since the mid-90s - yes I built websites when tables were cutting edge! I coined Barnacle SEO back in 2008 which was about optimizing for platforms you don't own. Sound familiar? That's essentially what GEO is - optimizing for AI platforms we don't control. I've been obsessed with AI content since early 2023 presenting on it before ChatGPT was even a household name.|will_scott_headshot.png|
4||Content|Help Me Help You|Audience poll|There are quite a few of us here so please help me make this as tailored as possible • Poll: bit.ly/smx-geo|Before we dive in let me understand who's in the room. Please take 30 seconds to complete this quick poll so I can tailor the examples to your experience level. This helps me focus on what you need most.|qr_poll.png|
5||Section|Session 1: Fundamentals of GEO|11:00–12:15|Understanding the evolution from SEO to AI optimization|Let's dive into Session 1. Over the next 75 minutes we'll establish the foundation you need to understand GEO. If you're an SEO expert some of this will feel familiar - that's intentional. GEO builds on SEO principles but the execution is different. If you're new to this don't worry - we'll build from the ground up.||
6|S1|Content|What is Generative Engine Optimization (GEO)?|Terminology clarification|GEO (Generative Engine Optimization): Optimizing for AI-generated responses • AI SEO: Broader term for all AI search optimization • LLM SEO: Specific to large language model optimization • AEO (Answer Engine Optimization): Focus on direct answer formats • Critical stat: 93% of AI responses pull from top 10 organic results|First let's address the elephant in the room - terminology. You'll hear GEO AI SEO LLM SEO AEO - they're all describing the same thing: optimizing content to be understood trusted and cited by AI systems. I use GEO because it emphasizes the generative aspect - these systems don't just retrieve they create. Here's a critical stat: 93% of AI responses pull from the top 10 organic results. So good SEO is still your foundation.||
7|S1|Content|Why AI SEO (GEO) Matters|The urgency for optimization|Search is evolving beyond traditional SEO • AI-generated responses affect how users find information • New opportunities for brand visibility in AI-driven search • Traffic (visits) from organic search is declining • 78% of informational queries now trigger AI responses|Here's why this matters right now. Traditional organic traffic is declining as AI provides direct answers. But this creates new opportunities for brand visibility through citations and mentions. When someone asks Perplexity about your industry you want to be cited as the authority.||
8|S1|Image|Very Soon AI Will Be Everywhere|Visual representation of AI ubiquity||AI is becoming embedded in everything we use. This isn't speculation - it's happening now. Every platform you market on will soon have AI-powered search and recommendations. Your customers are already using AI to research your products and services.|ai_everywhere_cereal.png|
9|S1|Content|LLM vs. AI Search (RAG)|Understanding the technical difference|Large Language Models (LLMs): Trained on static datasets • Knowledge limited to pre-training data • Responses based on probabilities not real-time information | Retrieval-Augmented Generation (RAG/AI Search): Combines LLMs with real-time data retrieval • Knowledge graphs search engines databases enhance responses • This is what we optimize for|It's crucial to understand we're not optimizing for ChatGPT's training data - we're optimizing for real-time AI search that pulls from live web sources. That's RAG - Retrieval Augmented Generation - and that's our opportunity. When AI needs current information about your industry it searches the web just like users do.||llm_vs_rag_diagram.png
10|S1|Content|How AI Search Processing Works|The four-step process|AI Search doesn't just retrieve—it synthesizes • Uses large language models (LLMs) trained on vast datasets • Retrieves relevant and authoritative content • Different AI platforms have unique retrieval methods|Understanding how AI processes information helps us optimize for it. AI doesn't just match keywords - it understands context evaluates authority and synthesizes multiple sources into coherent responses. This is fundamentally different from traditional search engines that just match and rank.||
11|S1|Content|Platform Differences|Major AI search platforms|Google AI Overviews: Indexed content pulls from authoritative sites • Bing Copilot: Retrieves from mix of sources with citations • Perplexity: Focuses heavily on live cited sources • ChatGPT (browsing): Uses mix of retrieved and summarized content • Multimedia: AI increasingly references videos and images|Each platform has different citation behaviors and that's crucial for your strategy. Google pulls from indexed content and prefers authoritative sites. Perplexity does real-time searches and cites heavily. Understanding these differences helps you tailor your approach.||platform_comparison_chart.png
12|S1|Chart|Platform Citation Patterns|Data from industry analysis and testing|Google AI: 1-3 sources prefers .gov/.edu (35% citation rate) • Perplexity: 5-10 sources research focus (55% citation rate) • ChatGPT: Selective 1-2 authoritative sources (25% citation rate) • Copilot: 3-5 sources Microsoft properties favored (40% citation rate)|This chart shows data compiled from industry testing and SEO community research on AI platform citation behaviors. Notice how Perplexity cites almost twice as many sources as Google? That's because Perplexity positions itself as a research assistant while Google aims for quick answers. ChatGPT is selective often citing just highly authoritative sources. Understanding these patterns helps you tailor your content strategy. Data represents typical citation patterns observed across hundreds of queries.||citation_pattern_chart.png
13|S1|TwoColumn|SEO vs. GEO - What's the Same?|Foundation principles|User intent matters: Does your content match the intent of the query • Entities are crucial in both: Where do you fit within the knowledge graph? • Content quality & specificity matter: Don't confuse the machine or the user • Technical SEO foundation: Crawlability and indexing still essential|Good news—your SEO foundation isn't wasted. Technical SEO still matters because AI systems need to crawl and understand your content. Content quality is even MORE important because AI evaluates expertise and accuracy. Authority signals like backlinks still count but now as trust indicators rather than ranking factors.||
14|S1|TwoColumn|SEO vs. GEO - What's Different?|Key distinctions|Backlinks vs. Citations: SEO relies on backlinks; GEO depends on authoritative citations • Keyword Strategy: SEO optimizes for ranking; GEO optimizes for inclusion • Content Structure: Greater specificity increases AI inclusion • Answer Format: AI synthesizes multiple sources into responses|But here's what's different: Query understanding has shifted from keywords to concepts. AI understands 'best Italian restaurant for a date' differently than Google's keyword matching. Answer formats matter more - AI synthesizes multiple sources into cohesive responses. And citation patterns are the new rankings - being cited is the new ranking number one.||
15|S1|Content|What AI Systems Reward|Four critical factors|Entities: Named concepts with Wikipedia/Knowledge Graph presence • Authority: E-E-A-T signals expert authorship citations from authoritative sites • Citations: Being referenced by other authoritative sources • Relevance: Semantic match + comprehensive coverage + user intent alignment|Four factors determine AI visibility. First entities - not keywords but recognized concepts with Knowledge Graph presence. Think Nike not athletic shoes. Second authority - but not just backlinks. AI evaluates author expertise publication credibility citation networks. Third citations - being referenced by other authoritative sources is huge. Fourth relevance - semantic understanding not keyword density.||entity_visualization.png
